,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses
15,hGV1IEn6w3eOoMvER4NpoHr6M3bk-Z7L6-MNwmTxyerreH8,IZWqhQD75YkUmVsp_D104OZXwrQVSOO1AcYkOs25bQ6mag,Gb5f-DXh803Nax6ij0P46lP7N5r80JPtTokz0o0HI3lipeXYfb7S1QTyTiSgDB5khZDckb_wHBCL8g,rtgzrefzef,7,1683736675072,895,1021,I,634,605
16,TUh8o7df5y1aMbU5snTbaDtOKdnkVAP-GCCuhNLE9hcr3NQ,UaK9-WmU1sPhvEX9vFald67VJByrgG2QeZKW-ycE6m18Byc,yDpiWEkYYC7IqMB1RsHyqXZQaWILnrcVqlqHZWyXNdnYMj6UDr1scEyNbIDPJUsF6NcO1OG5dQEMRw,homielander,4832,1683718846990,440,1021,I,126,98
17,avQpSzpBiFaHL-agSlleWf82ff1M6gFb2-GCZgU46TsFJtY,nxzxWPMjdxERtyf9egqQb4JC04q1pUHrf6HDCi1giV98jtI,z7e63YotF3xUCiXyRHdGOQIGltJE_vdBYd9MCUrhoK_LXV_RN6h7zacmHBpdW-M0AkA1rxdDctHXdw,Sir Leywin,3836,1683738965432,339,1020,I,126,90
18,fZ5OIu8DuGRQdkKlHR0BLx2EV1wxowS5Jw-K2Bnw8pbzbI5nioBKxSRvZw,8-IS3ym3YLoSwn7rSQVcsY4_WvHU9hZXe0jiDvPSD5dyWZHMgy8P8kP4,baUhkFi7Zf8opSRJqLospbXFjWFMBISdXXqCjur2NcU8PEQqEXLHzhpjrTxGnwkw5xA1upuOA5YXXA,till i w1n,5766,1683147507000,102,1020,I,118,80
19,Rrj9Frs9Ebb5BQY9XpOHs75cqf4TWq3Dp1HWsdulyWAZfQ57,2h49Bdp90_fgyxL17ZUbcCGryEHo5OvKEJ0gcmAkGM92c-Kmy0RqnizS,o_IIhkqPWRhHyRYQMwLAKFn-zDvml1uY7L0m9s5pIEzh-ngeLfgi4ZsFlokcutC7L_gOQNWZKYW3GQ,Annie IRL,5585,1683689625687,790,1016,I,756,724
20,rHMdmQhEfpTrYKu4ltmiCq6PzB08qw3Lu2BCXi3kihmdgVv2,R7muoq-SX9maL-Sai0xv-Mad4kNKJwo6Ld3G_xHVuTU7K21DksMontFw,U_XoD0XqzBOrIw1VW3ylHWFxXm5Uc3jM4J_fIpBcEewSaeuW1KFzaLyAZR_JEKQxuUUgxMmqGlILbw,twitter mirskill,3838,1683564175000,68,1014,I,224,167
21,8dfSa0RSojRjYj7gfNFO__ur4a6V87Q38tp-2IuSJ7Re21s,LWByqzmyCfxHaEpkb4os-201bT_QTamrvFMsZu-MtTyV4Y8,UICS-minRz6HSXz_l4S17tPvsHkMsU-GOaSdobX-6pUCEi2BAvWRehW_SMduAOmrJzI1Oi70NVVeCA,Kite Machine,7,1683481947000,640,1012,I,105,86
22,ie9M34VkP-pfHiOAI5TAX5Q-n7s9KzLKR3S8xMl05ZO2c7oy,-2qpIcFVP8JJ4DtX3sO66IuejdDWmQJf9FfvvfFUBj_EALK2uvvNKsor,W6scYPYk--f5WPBaMf7IU6aUOLyAj3scLv493x24BZnB8Z3vDoxcrGs5Hxix7fxZvKOCvwS-OJ5ZEw,project mbappe,8,1683565119000,255,1010,I,147,118
23,t0A3oXEf5YqwoylJdXUbNRpIvAK0qw6CoA8rg6TV46MrkBk,NDR_ezcjmX1_ZfKu_sGHsD0IkEe9Yveq7JCFS9yTG-R8bw,vfJ4u2SjNZPB2ro-SIAbNy1nps9EAo42t96GHkMTANW6Y56NyIuOuXRtMkxzJFESjSaxtbfjvOQktA,NNOtiko,5805,1683718885375,538,1007,I,287,250
24,aQM6tRlcCovGmNuE0wcEz2Kj5aTDwpqpaFKkhW5Wxsb-UQq8,I5AgJK5bQYu_LWYSRPj4ybx7wEiexClTckRmXTQ8S9V0LQY,z5oRswOwmrnd60oMvBNOajwiyj4zh2E4tVig9OLiAL8x-WKkHupVYCWyabY_fZnFY3hDLrCp_Y-_iQ,wx PaoPaoPW,4781,1683731381513,447,1006,I,145,114
25,tCS2MfbZjsXnpowt-7OV5xB49l0NUlJ1TJIDXZEF7wUlFFwR,JATeCe25LCZIVGFj_sCBNOGlbeqE78nuYl41CoDnei9uz0g,HOTIUPPhSHydl9xytcoMuRKRwYFGwJwuRjuQTb2iAbQFzo1fODj2ec3AaXhPs_Lb3ht9iwLJ8LPpAw,sparz n summer,7,1683409742000,282,1004,I,164,117
26,iqkTM6vZlaPQRK_7KUbL6DBBzdP19dESmDslQVeMIiM3rfQ,LRSLx9vA6-snAS7ag95g5GXvGR8CCHR6Z67uT5diIZSvAO8,0qppdLMGVtDNNu2JLqblb1SPnxnVtWZGFvLxj1XZtjwe1UidQ1m1OfidsUUMxsqAKBBdZhUGG0u5TQ,waterenjoyer123,508,1682518539000,476,1004,I,273,234
27,tEorczvLvR7yoinH-6pe81Dkl9l7sT_0BoU3sfJxBvxiEOU,WjWWdQiiDnJ--sHhbsKpR5BAfnCrAAEGWHl7uaoveg-vcXs,0x5JReuZeCT62WFwO0eMPhSxqRFAMMhUsOUINWCRutx6SFKWZkA9lF333kjIAEXFFooRRqDPr3rnIw,Shαwn Frost,4353,1683666473889,316,1002,I,106,79
28,Q8e_kwZTvH898MyUr-T70vtVkEOtrdUxSoP5A3_sEpx0rXM,oPyE7cPfUhO7cx7ekbPQak4Dh5UQEvYP8Njw9mbvCBnmNg,w0RcVi77uc3kQdzQV00mZk-QmQSnsK6wdplbFBhoXm5_ExkgLTmTWcOTRNhYEZxwjX1T0w1MGdSbKQ,Irode,720,1683654832391,658,998,I,170,128
